procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3181232  91936 555952    0    0     0  3440 3683 5739  4  7 70 20  0  0
 0  1      0 3169184  91936 555952    0    0     0  5956 5638 9668  4 13 71 12  0  0
 1  0      0 3173728  91936 555952    0    0     0  5936 5444 9518  4 12 72 12  0  0
 0  1      0 3174992  91936 555952    0    0     0  4212 4262 7004  3 10 72 15  0  0
 0  1      0 3197088  91936 555952    0    0     0  5904 5442 9424  5 10 72 12  0  0
 0  1      0 3167424  91936 555952    0    0     0  5556 5136 8891  4 12 72 13  0  0
 0  1      0 3189120  91936 555984    0    0     0  4580 4585 7502  3 10 72 14  0  0
 0  1      0 3185936  91936 555984    0    0     0  5692 5476 9372  4  9 74 13  0  0
 1  0      0 3160592  91936 555984    0    0     0  2724 3047 4621  2  7 70 22  0  0
 0  1      0 3172864  91936 555984    0    0     0  4772 4456 7565  3 10 73 14  0  0
 0  1      0 3173376  91936 555984    0    0     0  5296 4957 8540  4 12 72 13  0  0
